word,stem
ataharibu,-harib-
pigiwa,pig-
alipompokea,-poke-
usijitumie,-tum-
ungalicheza,-chez-
andika,andik-
hamkuchapishiwa,-chapish-
walivyoandikiwa,-andik-
hajaangalia,-angali-
hawakujengeana,-jeng-
nimeokolewa,-oko-
angalizia,angali-
pandishwa,pand-
chapisha,chapish-
sitapachomea,-chom-
umeshampata,-pat-
pokeaneni,poke-
tengenezeshwa,tengenez-
umechezea,-chez-
alichokichoma,-chom-
wasingelimvulia,-vu-
walipokula,-l-
hawakuimba,-imb-
siondoki,-ondo-
watakapomaliziwa,-maliz-
nitakuzuia,-zui-
simameni,simam-
hatukujenga,-jeng-
kusoma,-som-
sijamtumia,-tum-
ingia,ingi-
jaribuni,jarib-
pandaneni,pand-
sikieni,siki-
wametoka,-tok-
asingepanda,-pand-
walipigwa,-pig-
alimsikia,-siki-
atakapolivua,-vu-
nitatoka,-tok-
umeandikia,-andik-
alivyoanzishiwa,-anz-
jenganeni,jeng-
fungueni,fungu-
sijapika,-pik-
okoana,oko-
sijaimba,-imb-
alilowajibu,-jib-
hisiana,hisi-
tuliimbiwa,-imb-
alivyochukua,-chuku-
somesha,som-
hatumsikilizi,-siki-
simamishwa,simam-
ingilia,ingi-
alichokivua,-vu-
wamefufungiana,-fung-
onesha,onesh-
wanamaliziwa,-maliz-
nitamchukulia,-chuku-
niulizeni,-uliz-
walipojaribishiwa,-jarib-
usiingie,-ingi-
msiharibiane,-harib-
tunayemtafuta,-tafut-
tuma,tum-
atanipigia,-pig-
nilipomchoma,-chom-
walivyotengenezana,-tengenez-
hatakuvutisha,-vut-
hutaendelezea,-endele-
tumianeni,tum-
sijalala,-lal-
ulichokiharibu,-harib-
uliza,uliz-
alichokipata,-pat-
mmepotezana,-potez-
sitamkumbusha,-kumbu-
tutampiga,-pig-
tumemkatisha,-kat-
nisingelilala,-lal-
jaribu,jarib-
sijamrudishia,-rudish-
asingefungwa,-fung-
chukulika,chuku-
anzisha,anz-
jibu,jib-
tupia,tup-
msingechapisha,-chapish-
someshewa,som-
amekatwa,-kat-
unalichapishia,-chapish-
jengeshea,jeng-
tutaendelea ,-endele-
tutayajibu,-jib-
utafutiwe,-tafut-
tulikuchukulia,-chuku-
toka,tok-
tulimjengea,-jeng-
ametukatikia,-kat-
angalivua,-vu-
sitakutengenezea,-tengenez-
walipofungua,-fungu-
hatutaondoshewa,-ondo-
haribu,harib-
jibiwa,jib-
tulivyomsikia,-siki-
vuta,vut-
chukua,chuku-
tupiana,-tup-
funga,fung-
zuia,zui-
alipoingiliwa,-ingi-
angalia,angali-
alivyosoma,-som-
hukunionesha,-onesh-
msingelileta,-let-
aliyepikiwa,-pik-
ukawatumie,-tum-
wakutupwa,-tup-
mtupie,-tup-
sitawachapishia,-chapish-
okokeshwa,oko-
atajaribiwa,-jarib-
tafuta,tafut-
mtupe,-tup-
wasingelicheza,-chez-
ninahisi,-hisi-
alivyochezewa,-chez-
amevulishwa,-vu-
watakavyochukuliwa,-chuku-
kimepikwa,-pik-
waokoeni,-oko-
mjibiane,-jib-
angelichoma,-chom-
imba,imb-
panda,pand-
alivyomkumbuka,-kumbu-
hawatakuonesheni,-onesh-
mlichowatupia,-tup-
fungueni,fungu-
hawakumkatia,-kat-
okoa,oko-
amepigika,-pig-
sijajaribisha,-jarib-
muokoe,-oko-
hamuingii,-ingi-
hatuzuiani,-zui-
kimbieni,kimbi-
tupiwa,tup-
alizuiwa,-zui-
pigisha,pig-
sikuwazuia,-zui-
hawakumuandikia,-andik-
hawakumalizia,-maliz-
andikwa,andik-
rudishiwa,rudish-
tafutana,tafut-
muimbieni,-imb-
ulivyoichukua,-chuku-
tengenezewa,tengenez-
ungepikishwa,-pik-
siingilii,-ingi-
alipokivua,-vu-
nisipowaulizia,-uliz-
watachezwa,-chez-
hawatuzuii,-zui-
mtaendeleana,-endele-
jengewa,jeng-
kutokukichukua,-chuku-
mfungie,-fung-
alivyovipata,-pat-
asingewaendelezea,-endele-
aliyeandikishwa,-andik-
sijakipoteza,-potez-
utapika,-pik-
lichapisheni,-chapish-
letewa,let-
hawatasomeshwa,-som-
mliendelezewa,-endele-
aliyesikia,-siki-
hamtazuiana,-zui-
pokeana,poke-
mvutieni,-vut-
mleteeni,-let-
fungua,fungu-
hukujaribisha,-jarib-
alimaliza,-maliz-
hakurudishia,-rudish-
alivyoitengeneza,-tengenez-
hawaingii,-ingi-
nilitoka,-tok-
umejaribishiwa,-jarib-
hawataangaliziwa,-angali-
atavulishiwa,-vu-
waliandikiwa,-andik-
sitakaa,-ka-
watafutieni,-tafut-
kimbizaneni,kimbi-
asingekula ,-l-
alipojaribiwa,-jarib-
msitutafute,-tafut-
simama,simam-
chapishwa,chapish-
vulianeni,vu-
sikuandika,-andik-
amemhisi,-hisi-
kulishwa,-l-
asingeliharibu,-harib-
sikumsimamisha,-simam-
simpotezi,-potez-
kililiwa,-l-
alipotokea,-tok-
alichonijibu,-jib-
mjaribieni,-jarib-
poteza,potez-
hisi,hisi-
hawakukutupa,-tup-
tengenezesha,tengenez-
sikia,siki-
tuliwachukua,-chuku-
mlichorudishiwa,-rudish-
jibishwa,jib-
sikukumbuka,-kumbu-
wasingelimaliza,-maliz-
mkumbukeni,-kumbu-
alichokijaribu,-jarib-
sikuimba,-imb-
vutiana,vut-
hawataokolewa,-oko-
mtakitengeneza,-tengenez-
unajaribu,-jarib-
kimbizana,kimbi-
angelimuokoa,-oko-
watakupomsikia,-siki-
kumbukisha,kumbu-
maliza,maliz-
wasingeanza,-anz-
hamjafungana,-fung-
umehisiwa,-hisi-
alipoingia,-ingi-
asingeliwapoteza,-potez-
walipata,-pat-
anza,anz-
nilimkata,-kat-
mmemuangalizia,-angali-
kaeni,ka-
tutaandikishiwa,-andik-
atakaposimama,-simam-
sikufunga,-fung-
watahisi,-hisi-
sikujenga,-jeng-
walianzisha,-anz-
atakavyomvutishia,-vut-
hatutakusikiliza,-siki-
mtumie,-tum-
sikuwatumia,-tum-
tungelikatishiwa,-kat-
tumiana,tum-
haribiwa,harib-
umepikiwa,-pik-
lala,lal-
alivyompokea,-poke-
nimechukuliana,-chuku-
aliwapata,-pat-
waliyempanda,-pand-
kata,kat-
sijamletea,-let-
hatujakaa,-ka-
kimbilia,kimbi-
ameokoka,-oko-
mtakapompotezea,-potez-
sitakuharibia,-harib-
amemfungisha,-fung-
nitawasimamia,-simam-
tupianeni,-tup-
hakuwapata,-pat-
hakucheza,-chez-
vutia,vut-
alipotengenezwa,-tengenez-
walipomharibia,-harib-
mngemletea,-let-
mkumbusheni,-kumbu-
ninawapikia,-pik-
anaendelea,-endele-
amevuliwa,-vu-
angelicheza,-chez-
mtakachokimalizia,-maliz-
ulipokipoteza,-potez-
amepigishiwa,-pig-
nililala,-lal-
mharibie,-harib-
wasingeituma,-tum-
aliyeharibika,-harib-
pandia,pand-
pandianeni,pand-
sitoki,-tok-
mtamuangalia,-angali-
pigishwa,pig-
hawajasoma,-som-
wameondolewa,-ondo-
sikuendelezewa,-endele-
kaliana,ka-
alichukuliwa,-chuku-
amezuiwa,-zui-
vuliwa,vu-
