char,prev_char,next_char,position,word_len,label
a,<START>,t,0,9,0
t,a,a,1,9,0
a,t,h,2,9,0
h,a,a,3,9,1
a,h,r,4,9,1
r,a,i,5,9,1
i,r,b,6,9,1
b,i,u,7,9,1
u,b,<END>,8,9,0
p,<START>,i,0,6,1
i,p,g,1,6,1
g,i,i,2,6,1
i,g,w,3,6,0
w,i,a,4,6,0
a,w,<END>,5,6,0
a,<START>,l,0,11,0
l,a,i,1,11,0
i,l,p,2,11,0
p,i,o,3,11,0
o,p,m,4,11,0
m,o,p,5,11,0
p,m,o,6,11,1
o,p,k,7,11,1
k,o,e,8,11,1
e,k,a,9,11,1
a,e,<END>,10,11,0
u,<START>,s,0,10,0
s,u,i,1,10,0
i,s,j,2,10,0
j,i,i,3,10,0
i,j,t,4,10,0
t,i,u,5,10,1
u,t,m,6,10,1
m,u,i,7,10,1
i,m,e,8,10,0
e,i,<END>,9,10,0
u,<START>,n,0,11,0
n,u,g,1,11,0
g,n,a,2,11,0
a,g,l,3,11,0
l,a,i,4,11,0
i,l,c,5,11,0
c,i,h,6,11,1
h,c,e,7,11,1
e,h,z,8,11,1
z,e,a,9,11,1
a,z,<END>,10,11,0
a,<START>,n,0,6,1
n,a,d,1,6,1
d,n,i,2,6,1
i,d,k,3,6,1
k,i,a,4,6,1
a,k,<END>,5,6,0
h,<START>,a,0,15,0
a,h,m,1,15,0
m,a,k,2,15,0
k,m,u,3,15,0
u,k,c,4,15,0
c,u,h,5,15,1
h,c,a,6,15,1
a,h,p,7,15,1
p,a,i,8,15,1
i,p,s,9,15,1
s,i,h,10,15,1
h,s,i,11,15,1
i,h,w,12,15,0
w,i,a,13,15,0
a,w,<END>,14,15,0
w,<START>,a,0,15,0
a,w,l,1,15,0
l,a,i,2,15,0
i,l,v,3,15,0
v,i,y,4,15,0
y,v,o,5,15,0
o,y,a,6,15,0
a,o,n,7,15,1
n,a,d,8,15,1
d,n,i,9,15,1
i,d,k,10,15,1
k,i,i,11,15,1
i,k,w,12,15,0
w,i,a,13,15,0
a,w,<END>,14,15,0
h,<START>,a,0,11,0
a,h,j,1,11,0
j,a,a,2,11,0
a,j,a,3,11,0
a,a,n,4,11,1
n,a,g,5,11,1
g,n,a,6,11,1
a,g,l,7,11,1
l,a,i,8,11,1
i,l,a,9,11,1
a,i,<END>,10,11,0
h,<START>,a,0,14,0
a,h,w,1,14,0
w,a,a,2,14,0
a,w,k,3,14,0
k,a,u,4,14,0
u,k,j,5,14,0
j,u,e,6,14,1
e,j,n,7,14,1
n,e,g,8,14,1
g,n,e,9,14,1
e,g,a,10,14,0
a,e,n,11,14,0
n,a,a,12,14,0
a,n,<END>,13,14,0
n,<START>,i,0,11,0
i,n,m,1,11,0
m,i,e,2,11,0
e,m,o,3,11,0
o,e,k,4,11,1
k,o,o,5,11,1
o,k,l,6,11,1
l,o,e,7,11,0
e,l,w,8,11,0
w,e,a,9,11,0
a,w,<END>,10,11,0
a,<START>,n,0,9,1
n,a,g,1,9,1
g,n,a,2,9,1
a,g,l,3,9,1
l,a,i,4,9,1
i,l,z,5,9,1
z,i,i,6,9,0
i,z,a,7,9,0
a,i,<END>,8,9,0
p,<START>,a,0,9,1
a,p,n,1,9,1
n,a,d,2,9,1
d,n,i,3,9,1
i,d,s,4,9,0
s,i,h,5,9,0
h,s,w,6,9,0
w,h,a,7,9,0
a,w,<END>,8,9,0
c,<START>,h,0,8,1
h,c,a,1,8,1
a,h,p,2,8,1
p,a,i,3,8,1
i,p,s,4,8,1
s,i,h,5,8,1
h,s,a,6,8,1
a,h,<END>,7,8,0
s,<START>,i,0,12,0
i,s,t,1,12,0
t,i,a,2,12,0
a,t,p,3,12,0
p,a,a,4,12,0
a,p,c,5,12,0
c,a,h,6,12,1
h,c,o,7,12,1
o,h,m,8,12,1
m,o,e,9,12,1
e,m,a,10,12,0
a,e,<END>,11,12,0
u,<START>,m,0,11,0
m,u,e,1,11,0
e,m,s,2,11,0
s,e,h,3,11,0
h,s,a,4,11,0
a,h,m,5,11,0
m,a,p,6,11,0
p,m,a,7,11,1
a,p,t,8,11,1
t,a,a,9,11,1
a,t,<END>,10,11,0
p,<START>,o,0,9,1
o,p,k,1,9,1
k,o,e,2,9,1
e,k,a,3,9,1
a,e,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
t,<START>,e,0,13,1
e,t,n,1,13,1
n,e,g,2,13,1
g,n,e,3,13,1
e,g,n,4,13,1
n,e,e,5,13,1
e,n,z,6,13,1
z,e,e,7,13,1
e,z,s,8,13,0
s,e,h,9,13,0
h,s,w,10,13,0
w,h,a,11,13,0
a,w,<END>,12,13,0
u,<START>,m,0,9,0
m,u,e,1,9,0
e,m,c,2,9,0
c,e,h,3,9,1
h,c,e,4,9,1
e,h,z,5,9,1
z,e,e,6,9,1
e,z,a,7,9,0
a,e,<END>,8,9,0
a,<START>,l,0,13,0
l,a,i,1,13,0
i,l,c,2,13,0
c,i,h,3,13,0
h,c,o,4,13,0
o,h,k,5,13,0
k,o,i,6,13,0
i,k,c,7,13,0
c,i,h,8,13,1
h,c,o,9,13,1
o,h,m,10,13,1
m,o,a,11,13,1
a,m,<END>,12,13,0
w,<START>,a,0,15,0
a,w,s,1,15,0
s,a,i,2,15,0
i,s,n,3,15,0
n,i,g,4,15,0
g,n,e,5,15,0
e,g,l,6,15,0
l,e,i,7,15,0
i,l,m,8,15,0
m,i,v,9,15,0
v,m,u,10,15,1
u,v,l,11,15,1
l,u,i,12,15,0
i,l,a,13,15,0
a,i,<END>,14,15,0
w,<START>,a,0,10,0
a,w,l,1,10,0
l,a,i,2,10,1
i,l,p,3,10,0
p,i,o,4,10,0
o,p,k,5,10,0
k,o,u,6,10,0
u,k,l,7,10,0
l,u,a,8,10,0
a,l,<END>,9,10,0
h,<START>,a,0,10,0
a,h,w,1,10,0
w,a,a,2,10,0
a,w,k,3,10,0
k,a,u,4,10,0
u,k,i,5,10,0
i,u,m,6,10,1
m,i,b,7,10,1
b,m,a,8,10,1
a,b,<END>,9,10,0
s,<START>,i,0,8,0
i,s,o,1,8,0
o,i,n,2,8,1
n,o,d,3,8,1
d,n,o,4,8,1
o,d,k,5,8,1
k,o,i,6,8,0
i,k,<END>,7,8,0
w,<START>,a,0,16,0
a,w,t,1,16,0
t,a,a,2,16,0
a,t,k,3,16,0
k,a,a,4,16,0
a,k,p,5,16,0
p,a,o,6,16,0
o,p,m,7,16,0
m,o,a,8,16,1
a,m,l,9,16,1
l,a,i,10,16,1
i,l,z,11,16,1
z,i,i,12,16,1
i,z,w,13,16,0
w,i,a,14,16,0
a,w,<END>,15,16,0
n,<START>,i,0,10,0
i,n,t,1,10,0
t,i,a,2,10,0
a,t,k,3,10,0
k,a,u,4,10,0
u,k,z,5,10,0
z,u,u,6,10,1
u,z,i,7,10,1
i,u,a,8,10,1
a,i,<END>,9,10,0
s,<START>,i,0,8,1
i,s,m,1,8,1
m,i,a,2,8,1
a,m,m,3,8,1
m,a,e,4,8,1
e,m,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
h,<START>,a,0,11,0
a,h,t,1,11,0
t,a,u,2,11,0
u,t,k,3,11,0
k,u,u,4,11,0
u,k,j,5,11,0
j,u,e,6,11,1
e,j,n,7,11,1
n,e,g,8,11,1
g,n,a,9,11,1
a,g,<END>,10,11,0
k,<START>,u,0,6,0
u,k,s,1,6,0
s,u,o,2,6,1
o,s,m,3,6,1
m,o,a,4,6,1
a,m,<END>,5,6,0
s,<START>,i,0,10,0
i,s,j,1,10,0
j,i,a,2,10,0
a,j,m,3,10,0
m,a,t,4,10,0
t,m,u,5,10,1
u,t,m,6,10,1
m,u,i,7,10,1
i,m,a,8,10,0
a,i,<END>,9,10,0
i,<START>,n,0,5,1
n,i,g,1,5,1
g,n,i,2,5,1
i,g,a,3,5,1
a,i,<END>,4,5,0
j,<START>,a,0,8,1
a,j,r,1,8,1
r,a,i,2,8,1
i,r,b,3,8,1
b,i,u,4,8,1
u,b,n,5,8,0
n,u,i,6,8,0
i,n,<END>,7,8,0
p,<START>,a,0,9,1
a,p,n,1,9,1
n,a,d,2,9,1
d,n,a,3,9,1
a,d,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
s,<START>,i,0,7,1
i,s,k,1,7,1
k,i,i,2,7,1
i,k,e,3,7,1
e,i,n,4,7,0
n,e,i,5,7,0
i,n,<END>,6,7,0
w,<START>,a,0,8,0
a,w,m,1,8,0
m,a,e,2,8,0
e,m,t,3,8,0
t,e,o,4,8,1
o,t,k,5,8,1
k,o,a,6,8,1
a,k,<END>,7,8,0
a,<START>,s,0,11,0
s,a,i,1,11,0
i,s,n,2,11,0
n,i,g,3,11,0
g,n,e,4,11,0
e,g,p,5,11,0
p,e,a,6,11,1
a,p,n,7,11,1
n,a,d,8,11,1
d,n,a,9,11,1
a,d,<END>,10,11,0
w,<START>,a,0,9,0
a,w,l,1,9,0
l,a,i,2,9,0
i,l,p,3,9,0
p,i,i,4,9,1
i,p,g,5,9,1
g,i,w,6,9,1
w,g,a,7,9,0
a,w,<END>,8,9,0
a,<START>,l,0,9,0
l,a,i,1,9,0
i,l,m,2,9,0
m,i,s,3,9,0
s,m,i,4,9,1
i,s,k,5,9,1
k,i,i,6,9,1
i,k,a,7,9,1
a,i,<END>,8,9,0
a,<START>,t,0,12,0
